IMU accX[mg],IMU accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],Qi,Qj,Qk,Qs
0.038671,-0.022084,-0.019629,0.998815
0.038689,-0.022002,-0.019632,0.998816
0.038620,-0.022023,-0.019633,0.998818
0.038683,-0.022052,-0.019624,0.998815
0.038729,-0.021976,-0.019628,0.998815
0.038582,-0.022019,-0.019614,0.998820
0.038663,-0.022048,-0.019616,0.998816
0.038824,-0.021979,-0.019624,0.998812
0.038858,-0.022015,-0.019624,0.998810
0.038800,-0.021953,-0.019628,0.998813
0.038923,-0.021996,-0.019630,0.998807
0.038937,-0.021939,-0.019635,0.998808
0.038930,-0.021983,-0.019635,0.998807
0.039020,-0.022016,-0.019636,0.998803
0.039091,-0.022047,-0.019638,0.998799
0.039044,-0.022080,-0.019639,0.998801
0.039103,-0.022095,-0.019630,0.998798
0.039044,-0.022109,-0.019632,0.998800
0.039007,-0.022120,-0.019634,0.998801
0.038986,-0.022139,-0.019636,0.998801
0.039046,-0.022143,-0.019640,0.998799
0.039018,-0.022158,-0.019642,0.998800
0.038901,-0.022158,-0.019642,0.998804
0.039005,-0.022162,-0.019646,0.998800
0.038975,-0.022254,-0.019645,0.998799
0.038963,-0.022234,-0.019647,0.998800
0.038973,-0.022128,-0.019653,0.998802
0.039063,-0.022138,-0.019656,0.998798
0.039041,-0.022154,-0.019657,0.998799
0.039128,-0.022160,-0.019660,0.998795
0.039292,-0.022166,-0.019664,0.998788
0.039338,-0.022173,-0.019665,0.998786
0.039264,-0.022173,-0.019665,0.998789
0.039375,-0.022172,-0.019669,0.998785
0.039369,-0.022163,-0.019671,0.998785
0.039281,-0.022161,-0.019660,0.998789
0.039292,-0.022165,-0.019662,0.998788
0.039301,-0.022177,-0.019666,0.998788
0.039212,-0.022280,-0.019664,0.998789
0.039152,-0.022260,-0.019666,0.998792
0.039188,-0.022335,-0.019667,0.998789
0.039133,-0.022304,-0.019669,0.998791
0.039088,-0.022279,-0.019671,0.998794
0.039251,-0.022252,-0.019674,0.998788
0.039285,-0.022333,-0.019673,0.998785
0.039224,-0.022299,-0.019675,0.998788
0.039179,-0.022369,-0.019671,0.998788
0.039222,-0.022330,-0.019676,0.998787
0.039168,-0.022404,-0.019673,0.998788
0.039218,-0.022466,-0.019673,0.998784
0.039251,-0.022412,-0.019679,0.998784
0.039280,-0.022355,-0.019683,0.998784
0.039282,-0.022402,-0.019682,0.998783
0.039302,-0.022370,-0.019674,0.998783
0.039411,-0.022431,-0.019663,0.998778
0.039400,-0.022379,-0.019667,0.998779
0.039491,-0.022438,-0.019669,0.998774
0.039470,-0.022483,-0.019669,0.998774
0.039555,-0.022526,-0.019671,0.998770
0.039524,-0.022461,-0.019674,0.998773
0.039491,-0.022404,-0.019678,0.998775
0.039480,-0.022456,-0.019677,0.998774
0.039480,-0.022408,-0.019681,0.998775
0.039471,-0.022470,-0.019680,0.998774
0.039464,-0.022520,-0.019680,0.998773
0.039458,-0.022550,-0.019680,0.998773
0.039539,-0.022482,-0.019687,0.998771
0.039511,-0.022515,-0.019686,0.998771
0.039491,-0.022448,-0.019691,0.998774
0.039481,-0.022398,-0.019682,0.998775
0.039462,-0.022451,-0.019681,0.998775
0.039550,-0.022497,-0.019670,0.998771
0.039614,-0.022439,-0.019676,0.998769
0.039674,-0.022486,-0.019676,0.998766
0.039608,-0.022613,-0.019671,0.998766
0.039659,-0.022627,-0.019661,0.998764
0.039702,-0.022544,-0.019667,0.998764
0.039633,-0.022566,-0.019667,0.998766
0.039672,-0.022585,-0.019669,0.998764
0.039723,-0.022500,-0.019674,0.998764
0.039744,-0.022532,-0.019675,0.998762
0.039581,-0.022558,-0.019674,0.998768
0.039647,-0.022583,-0.019675,0.998765
0.039700,-0.022603,-0.019676,0.998762
0.042170,-0.020341,-0.081042,0.995610
0.041818,-0.021145,-0.081012,0.995611
0.041340,-0.022749,-0.076337,0.995965
0.045174,-0.013740,-0.079523,0.995714
0.045557,-0.012240,-0.080737,0.995619
0.046135,-0.011714,-0.024550,0.998565
0.044032,-0.014412,-0.001534,0.998925
0.041988,-0.015011,0.007282,0.998979
0.040701,-0.015728,0.007480,0.999020
0.039066,-0.016591,0.007611,0.999070
0.038363,-0.017427,0.007306,0.999085
0.037492,-0.019163,0.006343,0.999093
0.037827,-0.021239,0.004245,0.999050
0.038489,-0.025022,0.014751,0.998837
0.039458,-0.024401,0.014212,0.998822
0.039856,-0.023239,0.013973,0.998838
0.040005,-0.023442,0.013823,0.998829
0.040111,-0.023565,0.013663,0.998824
