Time [mS], AccX [mg], AccY [mg], AccZ [mg], GyroX [mdps], GyroY [mdps], GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T ['C]
1948, -1, -24, 999, -14700, -490, 8767, -277, -135, -834, 964.80, 31.19
1949, 29, -29, 987, -13702, -507, 8627, -277, -129, -828, 964.80, 31.19
1950, 28, -31, 986, -11567, -525, 10255, -276, -127, -829, 964.80, 31.19
1951, -2, -19, 1028, -11182, -472, 10412, -273, -130, -831, 964.80, 31.19
1952, -7, -17, 1043, -14892, -157, 8032, -271, -129, -834, 964.80, 31.19
1953, -8, -18, 1054, -22697, -105, 5582, -276, -129, -831, 964.80, 31.19
1954, -7, -18, 1063, -28717, 140, 2782, -270, -138, -829, 964.80, 31.19
1955, 16, -29, 1049, -34352, 87, 1487, -271, -139, -828, 964.80, 31.19
1956, 15, -43, 1020, -37345, 350, 2082, -277, -139, -825, 964.85, 31.19
1957, 5, -51, 1006, -38587, 315, 1312, -274, -142, -823, 964.85, 31.19
1958, 30, -55, 1018, -38850, 542, 1312, -270, -141, -829, 964.85, 31.19
1959, -23, -79, 963, -37432, 175, 1820, -270, -139, -832, 964.85, 31.19
1960, 18, -74, 1007, -34265, 542, -612, -274, -141, -825, 964.87, 31.19
1961, 12, -78, 1012, -36837, -315, -245, -273, -141, -825, 964.87, 31.19
1962, 21, -80, 1024, -37257, 752, 0, -267, -145, -826, 964.87, 31.19
1963, 31, -75, 1063, -41247, 822, 752, -262, -148, -826, 964.87, 31.19
1964, 96, -65, 1153, -53217, 717, 5355, -268, -151, -825, 964.88, 31.19
1965, 21, -101, 1021, -68722, -927, 17167, -270, -154, -825, 964.88, 31.19
1966, 0, -72, 1072, -73097, -35, 8260, -265, -154, -825, 964.88, 31.19
1967, 8, -149, 982, -78277, 17, -7525, -259, -156, -828, 964.88, 31.19
1968, 22, -127, 981, -75512, 1662, -6247, -259, -162, -825, 964.86, 31.19
1969, 79, -125, 1102, -80202, 2922, -11882, -262, -165, -813, 964.86, 31.19
1970, 132, -157, 1078, -101080, 350, -2187, -267, -166, -811, 964.86, 31.19
1971, 8, -178, 987, -102585, 2800, -3045, -268, -171, -814, 964.86, 31.19
1972, 27, -161, 1051, -107432, 2502, -7087, -267, -178, -816, 964.83, 31.19
1973, 15, -224, 1014, -112332, 1627, -5162, -261, -180, -807, 964.83, 31.19
1974, -32, -210, 1050, -119542, 3762, -9502, -258, -180, -801, 964.83, 31.19
1975, -19, -264, 985, -125300, 3937, -9257, -259, -180, -799, 964.83, 31.19
1976, -28, -301, 966, -131985, 2782, -7420, -261, -181, -799, 964.85, 31.19
1977, 5, -300, 998, -136010, 2695, -4112, -268, -189, -793, 964.85, 31.19
1978, -2, -316, 980, -142170, 3202, -5530, -270, -196, -783, 964.85, 31.19
1979, -7, -348, 946, -146142, 3955, -5915, -261, -201, -793, 964.85, 31.19
1980, -27, -368, 905, -146545, 4795, -8225, -259, -204, -790, 964.87, 31.19
1981, -25, -401, 898, -146037, 6055, -11112, -261, -207, -775, 964.87, 31.19
1982, 10, -430, 871, -142362, 4672, -7105, -262, -208, -768, 964.87, 31.19
1983, -7, -458, 871, -140105, 2345, -612, -261, -216, -751, 964.87, 31.19
1984, -6, -479, 868, -140647, 367, 1627, -262, -220, -748, 964.85, 31.19
1985, 9, -539, 879, -143815, -245, 2905, -261, -225, -748, 964.85, 31.19
1986, 0, -512, 869, -149642, -52, 5215, -253, -231, -739, 964.85, 31.19
1987, -21, -526, 850, -153142, -1820, 6037, -252, -231, -733, 964.85, 31.19
1988, 4, -532, 861, -155505, -2800, 3675, -258, -234, -729, 964.85, 31.19
1989, 0, -577, 798, -159687, 1260, 1697, -261, -235, -717, 964.82, 31.19
1990, -11, -601, 803, -159687, 3360, 612, -258, -238, -702, 964.82, 31.19
1991, -8, -622, 795, -163747, 7752, -612, -253, -240, -699, 964.82, 31.19
1992, 1, -640, 721, -164062, 5495, -262, -256, -241, -691, 964.82, 31.19
1993, 10, -650, 744, -162540, 10237, 577, -259, -250, -691, 964.80, 31.19
1994, 1, -681, 717, -159792, 12215, -4917, -259, -256, -685, 964.80, 31.19
1995, 19, -692, 698, -163065, 14052, -7560, -258, -253, -666, 964.80, 31.19
1996, 13, -724, 651, -161980, 16012, -7927, -258, -255, -651, 964.80, 31.19
1997, -19, -738, 673, -162837, 15470, -6912, -259, -255, -639, 964.84, 31.19
1998, -9, -728, 631, -167790, 17045, -8575, -255, -253, -630, 964.84, 31.19
1999, 11, -730, 597, -160282, 14840, -9607, -253, -261, -622, 964.84, 31.19
2000, 14, -775, 555, -154857, 17447, -7227, -252, -262, -610, 964.84, 31.19
2001, 25, -781, 562, -149572, 17167, -6580, -252, -258, -595, 964.85, 31.20
2002, 16, -805, 547, -146597, 19792, -7192, -256, -256, -591, 964.85, 31.20
2003, 17, -790, 504, -140315, 18515, -8575, -256, -259, -589, 964.85, 31.20
2004, 39, -812, 465, -129657, 14140, -8750, -259, -259, -582, 964.85, 31.20
2005, 10, -863, 470, -114485, 14332, -6755, -265, -258, -567, 964.85, 31.20
2006, 10, -862, 480, -109830, 13090, -4322, -262, -256, -556, 964.85, 31.20
2007, 1, -863, 447, -106172, 11410, -3535, -262, -255, -547, 964.85, 31.20
2008, 0, -879, 447, -100117, 10937, -3482, -258, -258, -535, 964.85, 31.20
2009, 14, -881, 432, -97107, 11742, -3255, -258, -256, -525, 964.85, 31.20
2010, 13, -901, 449, -94570, 12477, -3325, -259, -252, -514, 964.85, 31.20
2011, -21, -891, 438, -84472, 32812, -3290, -258, -256, -507, 964.85, 31.20
2012, 7, -927, 349, -82075, 39585, -6492, -261, -253, -502, 964.85, 31.20
2013, 0, -930, 335, -83562, 27737, -3272, -262, -249, -502, 964.83, 31.20
2014, -41, -901, 384, -83982, 25812, -4707, -265, -243, -501, 964.83, 31.20
2015, -30, -917, 348, -85277, 27107, -9240, -267, -240, -489, 964.83, 31.20
2016, -21, -923, 339, -87010, 22347, -10587, -261, -244, -475, 964.83, 31.20
2017, -8, -938, 307, -90352, 20457, -15470, -258, -241, -471, 964.82, 31.20
2018, -1, -942, 308, -93152, 14962, -14875, -262, -241, -466, 964.82, 31.20
2019, -12, -940, 284, -95952, 11497, -15172, -270, -244, -460, 964.82, 31.20
2020, -12, -951, 260, -95900, 7945, -17132, -271, -240, -454, 964.82, 31.20
2021, 10, -965, 244, -97930, 4760, -16660, -276, -234, -445, 964.84, 31.20
2022, 25, -973, 227, -98402, 1487, -15015, -273, -234, -435, 964.84, 31.20
2023, 37, -982, 216, -96827, 3622, -10587, -270, -234, -426, 964.84, 31.20
2024, 55, -993, 181, -94342, 8417, -8137, -267, -229, -424, 964.84, 31.20
2025, 28, -983, 173, -90755, 14210, -5985, -276, -226, -420, 964.83, 31.20
2026, 23, -986, 150, -87325, 19110, -6352, -285, -223, -409, 964.83, 31.20
2027, 39, -996, 122, -84315, 19127, -4970, -280, -219, -403, 964.83, 31.20
2028, 37, -996, 133, -82530, 12407, -157, -277, -214, -391, 964.83, 31.20
