Qi,Qj,Qk,Qs,,,,,,,,,
-0.001783,0.002384,0.959935,0.280208,,,,,,,,,
-0.002108,0.002756,0.959163,0.282834,,,,,,,,,
-0.001890,0.003049,0.958299,0.285744,,,,,,,,,
-0.001877,0.002887,0.957629,0.287985,,,,,,,,,
-0.001186,0.003826,0.956224,0.292607,,,,,,,,,
-0.001142,0.004356,0.954634,0.297747,,,,,,,,,
-0.000958,0.004097,0.953074,0.302708,,,,,,,,,
0.000659,0.003254,0.950122,0.311861,,,,,,,,,
0.001361,0.002386,0.945955,0.324288,,,,,,,,,
-0.000267,0.002967,0.941957,0.335720,,,,,,,,,
-0.002322,0.003074,0.938207,0.346052,,,,,,,,,
-0.003610,0.004351,0.933734,0.357922,,,,,,,,,
-0.004948,0.005202,0.929194,0.369523,,,,,,,,,
-0.004277,0.004796,0.924075,0.382157,,,,,,,,,
-0.004479,0.003560,0.918793,0.394699,,,,,,,,,
-0.003193,0.002467,0.913463,0.406902,,,,,,,,,
-0.003640,0.001589,0.908302,0.418296,,,,,,,,,
-0.003015,0.002028,0.902872,0.429894,,,,,,,,,
-0.002990,0.001868,0.896014,0.444012,,,,,,,,,
-0.003461,0.002634,0.889375,0.457158,,,,,,,,,
-0.002523,0.001518,0.882546,0.470216,,,,,,,,,
-0.000792,-0.000089,0.874468,0.485082,,,,,,,,,
0.000930,-0.001777,0.863786,0.503855,,,,,,,,,
0.001828,-0.002293,0.830867,0.556464,,,,,,,,,
0.000654,-0.001216,0.814248,0.580516,,,,,,,,,
-0.000599,-0.000407,0.801182,0.598420,,,,,,,,,
-0.001087,0.000611,0.787118,0.616802,,,,,,,,,
-0.000967,-0.000300,0.774303,0.632814,,,,,,,,,
-0.000669,-0.000971,0.760827,0.648954,,,,,,,,,
-0.000294,-0.001448,0.753996,0.656877,,,,,,,,,
-0.000515,-0.001525,0.746120,0.665810,,,,,,,,,
-0.001617,-0.001062,0.738377,0.674386,,,,,,,,,
-0.003734,0.000929,0.733779,0.679377,,,,,,,,,
-0.004618,0.001038,0.731167,0.682182,,,,,,,,,
-0.004191,0.000782,0.726405,0.687254,,,,,,,,,
-0.004326,0.000259,0.719487,0.694492,,,,,,,,,
-0.002546,0.001493,0.703431,0.710757,,,,,,,,,
-0.003614,0.003248,0.702943,0.711230,,,,,,,,,
-0.005065,0.004096,0.695316,0.718675,,,,,,,,,
-0.005209,0.002083,0.697451,0.716611,,,,,,,,,
-0.004620,0.002110,0.692531,0.721370,,,,,,,,,
-0.004652,0.001140,0.687440,0.726226,,,,,,,,,
-0.005029,0.003385,0.684806,0.728701,,,,,,,,,
-0.006323,0.004473,0.685363,0.728161,,,,,,,,,
-0.007334,0.004150,0.685200,0.728307,,,,,,,,,
-0.009468,0.002277,0.676891,0.736019,,,,,,,,,
-0.008599,0.004345,0.665970,0.745916,,,,,,,,,
-0.008792,0.004315,0.658489,0.752527,,,,,,,,,
-0.008696,0.005742,0.658785,0.752259,,,,,,,,,
-0.007483,0.011039,0.653163,0.757100,,,,,,,,,
-0.008170,0.011485,0.658840,0.752151,,,,,,,,,
-0.009543,0.008942,0.661887,0.749489,,,,,,,,,
-0.009940,0.009261,0.659822,0.751300,,,,,,,,,
-0.009486,0.011685,0.658494,0.752436,,,,,,,,,
-0.009324,0.011894,0.661429,0.749856,,,,,,,,,
-0.009255,0.011287,0.664323,0.747303,,,,,,,,,
-0.009053,0.010399,0.665977,0.745844,,,,,,,,,
-0.009113,0.009921,0.665453,0.746318,,,,,,,,,
-0.009709,0.009693,0.664137,0.747485,,,,,,,,,
-0.010185,0.011351,0.665083,0.746614,,,,,,,,,
-0.010660,0.012844,0.667069,0.744809,,,,,,,,,
-0.010829,0.012377,0.670008,0.742172,,,,,,,,,
-0.010057,0.010464,0.669806,0.742394,,,,,,,,,
-0.010757,0.012541,0.671028,0.741248,,,,,,,,,
-0.010226,0.011794,0.671262,0.741056,,,,,,,,,
-0.009824,0.010931,0.672302,0.740131,,,,,,,,,
-0.006857,0.017459,0.682693,0.730465,,,,,,,,,
-0.005243,0.020905,0.700445,0.713381,,,,,,,,,
-0.005248,0.019487,0.718250,0.695492,,,,,,,,,
-0.006364,0.019561,0.732733,0.680205,,,,,,,,,
-0.007812,0.019992,0.748711,0.662549,,,,,,,,,
-0.007674,0.019302,0.762854,0.646237,,,,,,,,,
-0.006641,0.016511,0.775030,0.631674,,,,,,,,,
-0.005105,0.016626,0.787418,0.616174,,,,,,,,,
-0.005620,0.015710,0.800301,0.599366,,,,,,,,,
-0.008040,0.014294,0.814631,0.579748,,,,,,,,,
-0.009479,0.012602,0.828242,0.560148,,,,,,,,,
-0.010527,0.010919,0.836844,0.547232,,,,,,,,,
-0.011846,0.010463,0.847449,0.530642,,,,,,,,,
-0.010862,0.007984,0.854679,0.518982,,,,,,,,,
-0.012506,0.008312,0.860830,0.508671,,,,,,,,,
-0.013040,0.007544,0.868387,0.495658,,,,,,,,,
-0.011227,0.005946,0.876958,0.480399,,,,,,,,,
-0.008453,0.005676,0.881072,0.472873,,,,,,,,,
-0.008895,0.005602,0.882967,0.469317,,,,,,,,,
-0.010400,0.005931,0.886806,0.461987,,,,,,,,,
-0.009709,0.004192,0.889700,0.456423,,,,,,,,,
-0.008102,0.002602,0.890894,0.454132,,,,,,,,,
-0.006908,0.001253,0.893713,0.448584,,,,,,,,,
-0.006553,-0.000125,0.892669,0.450666,,,,,,,,,
-0.006131,-0.002192,0.891221,0.453523,,,,,,,,,
-0.006317,-0.002603,0.888995,0.457866,,,,,,,,,
-0.006446,-0.003004,0.886858,0.461988,,,,,,,,,
-0.006525,-0.003408,0.884877,0.465767,,,,,,,,,
-0.006591,-0.003814,0.882796,0.469694,,,,,,,,,
-0.006302,-0.003034,0.882618,0.470040,,,,,,,,,
-0.005950,-0.002280,0.882434,0.470393,,,,,,,,,
-0.005487,-0.001678,0.882382,0.470499,,,,,,,,,
-0.006076,0.000965,0.882208,0.470820,,,,,,,,,
-0.005900,0.001144,0.882195,0.470846,,,,,,,,,
-0.005760,0.001252,0.882185,0.470867,,,,,,,,,
-0.005638,0.001346,0.882181,0.470875,,,,,,,,,
-0.005505,0.001478,0.882178,0.470883,,,,,,,,,
-0.005319,0.001618,0.882174,0.470891,,,,,,,,,
-0.005083,0.001699,0.882172,0.470898,,,,,,,,,
-0.004965,0.001823,0.882171,0.470900,,,,,,,,,
-0.004777,0.001878,0.882165,0.470913,,,,,,,,,
-0.004704,0.001967,0.882165,0.470913,,,,,,,,,
-0.004509,0.002074,0.882160,0.470924,,,,,,,,,
-0.004486,0.002127,0.882160,0.470923,,,,,,,,,
-0.004471,0.002162,0.882161,0.470921,,,,,,,,,
-0.004376,0.002145,0.882163,0.470920,,,,,,,,,
-0.004383,0.002177,0.882163,0.470918,,,,,,,,,
-0.004300,0.002166,0.882165,0.470917,,,,,,,,,
-0.004237,0.002149,0.882160,0.470926,,,,,,,,,
-0.004269,0.002179,0.882155,0.470934,,,,,,,,,
-0.004296,0.002204,0.882156,0.470932,,,,,,,,,
-0.004313,0.002234,0.882157,0.470930,,,,,,,,,
-0.004326,0.002257,0.882158,0.470928,,,,,,,,,
-0.004333,0.002262,0.882159,0.470926,,,,,,,,,
-0.004263,0.002227,0.882155,0.470935,,,,,,,,,
-0.004079,0.002237,0.882157,0.470933,,,,,,,,,
-0.004143,0.002252,0.882158,0.470931,,,,,,,,,
-0.004193,0.002263,0.882158,0.470929,,,,,,,,,
-0.004234,0.002272,0.882154,0.470937,,,,,,,,,
-0.004258,0.002275,0.882155,0.470935,,,,,,,,,
-0.004199,0.002247,0.882150,0.470944,,,,,,,,,
-0.004242,0.002273,0.882151,0.470942,,,,,,,,,
-0.004186,0.002245,0.882152,0.470940,,,,,,,,,
-0.004135,0.002231,0.882154,0.470938,,,,,,,,,
-0.004129,0.002334,0.882155,0.470936,,,,,,,,,
-0.004182,0.002329,0.882156,0.470933,,,,,,,,,
-0.004211,0.002330,0.882157,0.470931,,,,,,,,,
-0.004117,0.002375,0.882158,0.470929,,,,,,,,,
-0.004076,0.002322,0.882159,0.470928,,,,,,,,,
-0.004134,0.002329,0.882160,0.470926,,,,,,,,,
-0.004099,0.002291,0.882161,0.470924,,,,,,,,,
-0.004163,0.002308,0.882162,0.470922,,,,,,,,,
-0.004196,0.002313,0.882163,0.470920,,,,,,,,,
-0.004231,0.002321,0.882164,0.470918,,,,,,,,,
-0.004260,0.002328,0.882165,0.470916,,,,,,,,,
-0.004280,0.002343,0.882166,0.470914,,,,,,,,,
-0.004299,0.002345,0.882166,0.470912,,,,,,,,,
-0.004232,0.002303,0.882168,0.470911,,,,,,,,,
-0.004168,0.002263,0.882169,0.470909,,,,,,,,,
-0.004215,0.002273,0.882164,0.470918,,,,,,,,,
-0.004331,0.002311,0.882165,0.470916,,,,,,,,,
-0.004345,0.002311,0.882165,0.470914,,,,,,,,,
-0.004349,0.002307,0.882161,0.470923,,,,,,,,,
-0.004278,0.002264,0.882162,0.470921,,,,,,,,,
-0.004215,0.002237,0.882163,0.470919,,,,,,,,,
-0.004207,0.002335,0.882159,0.470928,,,,,,,,,
-0.004241,0.002339,0.882160,0.470926,,,,,,,,,
-0.004180,0.002285,0.882161,0.470924,,,,,,,,,
-0.004136,0.002255,0.882162,0.470922,,,,,,,,,
-0.004188,0.002266,0.882163,0.470920,,,,,,,,,
-0.004221,0.002292,0.882164,0.470918,,,,,,,,,
-0.004252,0.002305,0.882165,0.470916,,,,,,,,,
-0.004153,0.002345,0.882166,0.470914,,,,,,,,,
-0.004113,0.002303,0.882167,0.470913,,,,,,,,,
-0.004078,0.002256,0.882163,0.470922,,,,,,,,,
-0.004128,0.002271,0.882164,0.470920,,,,,,,,,
-0.004264,0.002323,0.882164,0.470917,,,,,,,,,
-0.004209,0.002277,0.882165,0.470916,,,,,,,,,
-0.004164,0.002240,0.882166,0.470914,,,,,,,,,
-0.004219,0.002258,0.882167,0.470912,,,,,,,,,
-0.004246,0.002264,0.882168,0.470910,,,,,,,,,
-0.004360,0.002318,0.882169,0.470908,,,,,,,,,
-0.004281,0.002259,0.882170,0.470906,,,,,,,,,
-0.004170,0.002305,0.882171,0.470904,,,,,,,,,
-0.004118,0.002266,0.882173,0.470903,,,,,,,,,
-0.004173,0.002275,0.882173,0.470901,,,,,,,,,
-0.004218,0.002283,0.882168,0.470910,,,,,,,,,
-0.004222,0.002256,0.882152,0.470940,,,,,,,,,
-0.004663,0.001970,0.881416,0.472314,,,,,,,,,
-0.004562,0.001940,0.880667,0.473709,,,,,,,,,
-0.005154,0.001104,0.880025,0.474899,,,,,,,,,
-0.007698,-0.000589,0.878819,0.477093,,,,,,,,,
-0.009112,-0.002531,0.877853,0.478837,,,,,,,,,
-0.010203,-0.005546,0.876743,0.480819,,,,,,,,,
-0.012742,-0.006684,0.875461,0.483075,,,,,,,,,
-0.013333,-0.006966,0.875183,0.483558,,,,,,,,,
-0.013415,-0.007360,0.867756,0.496754,,,,,,,,,
-0.014484,-0.006680,0.860394,0.509380,,,,,,,,,
-0.014508,-0.004927,0.853887,0.520232,,,,,,,,,
-0.013503,-0.003294,0.848155,0.529566,,,,,,,,,
-0.012667,-0.001679,0.843095,0.537613,,,,,,,,,
-0.012959,0.000554,0.838870,0.544178,,,,,,,,,
-0.013615,0.002272,0.834856,0.550295,,,,,,,,,
-0.014752,0.003561,0.831013,0.556046,,,,,,,,,
-0.015162,0.004129,0.827534,0.561196,,,,,,,,,
-0.015338,0.004408,0.824160,0.566132,,,,,,,,,
-0.015863,0.005478,0.823574,0.566961,,,,,,,,,
-0.016712,0.006778,0.823148,0.567540,,,,,,,,,
-0.017738,0.007271,0.822585,0.568319,,,,,,,,,
-0.019095,0.007401,0.822411,0.568525,,,,,,,,,
-0.019311,0.007540,0.822631,0.568198,,,,,,,,,
-0.018359,0.007767,0.822770,0.568026,,,,,,,,,
-0.017576,0.007945,0.822525,0.568402,,,,,,,,,
-0.017739,0.008729,0.822240,0.568798,,,,,,,,,
-0.017277,0.009500,0.822345,0.568647,,,,,,,,,
-0.015917,0.011298,0.822521,0.568400,,,,,,,,,
-0.014130,0.013788,0.822761,0.568045,,,,,,,,,
-0.011871,0.015136,0.820494,0.571331,,,,,,,,,
-0.009929,0.016730,0.818394,0.574328,,,,,,,,,
-0.007235,0.019726,0.818641,0.573921,,,,,,,,,
-0.003939,0.023567,0.818744,0.573662,,,,,,,,,
0.001084,0.029072,0.818587,0.573645,,,,,,,,,
0.007060,0.034648,0.814934,0.578474,,,,,,,,,
0.013566,0.039908,0.812199,0.581856,,,,,,,,,
0.021544,0.046964,0.809512,0.584826,,,,,,,,,
0.030937,0.053564,0.807318,0.586866,,,,,,,,,
0.039379,0.059595,0.804800,0.589233,,,,,,,,,
0.046537,0.066219,0.801071,0.593072,,,,,,,,,
0.054356,0.072634,0.797804,0.596052,,,,,,,,,
0.061384,0.078787,0.796233,0.596689,,,,,,,,,
0.068380,0.087054,0.792680,0.599504,,,,,,,,,
0.076126,0.097481,0.786207,0.605460,,,,,,,,,
0.084260,0.108716,0.780863,0.609372,,,,,,,,,
0.093258,0.121008,0.777241,0.610374,,,,,,,,,
0.103156,0.135185,0.774020,0.609899,,,,,,,,,
0.115025,0.151405,0.771182,0.607556,,,,,,,,,
0.126262,0.162302,0.770562,0.603283,,,,,,,,,
0.133761,0.171514,0.768228,0.602094,,,,,,,,,
0.141645,0.179195,0.766226,0.600603,,,,,,,,,
0.150222,0.186091,0.765071,0.597888,,,,,,,,,
0.158138,0.192460,0.763679,0.595605,,,,,,,,,
0.166441,0.197477,0.762423,0.593305,,,,,,,,,
0.176620,0.205067,0.760264,0.590553,,,,,,,,,
0.187940,0.215708,0.756520,0.588069,,,,,,,,,
0.198497,0.225509,0.752518,0.586056,,,,,,,,,
0.206365,0.232071,0.751077,0.582615,,,,,,,,,
0.211869,0.238077,0.748599,0.581404,,,,,,,,,
0.219024,0.242983,0.746097,0.579938,,,,,,,,,
0.226324,0.246351,0.745115,0.576968,,,,,,,,,
0.230568,0.247497,0.744345,0.575790,,,,,,,,,
0.232630,0.249437,0.742098,0.577023,,,,,,,,,
0.231775,0.250753,0.741249,0.577887,,,,,,,,,
0.231098,0.251401,0.740990,0.578209,,,,,,,,,
0.231924,0.251540,0.741270,0.577458,,,,,,,,,
0.233658,0.250495,0.742766,0.575287,,,,,,,,,
0.234197,0.249297,0.743691,0.574393,,,,,,,,,
0.232981,0.246955,0.745323,0.573783,,,,,,,,,
0.229106,0.244548,0.746958,0.574247,,,,,,,,,
0.224970,0.241570,0.748695,0.574881,,,,,,,,,
0.221916,0.238562,0.750516,0.574950,,,,,,,,,
0.218840,0.234567,0.751910,0.575950,,,,,,,,,
0.211415,0.230998,0.752591,0.579267,,,,,,,,,
0.203258,0.226160,0.754848,0.581156,,,,,,,,,
0.196591,0.219904,0.757931,0.581837,,,,,,,,,
0.188068,0.214449,0.759654,0.584438,,,,,,,,,
0.178787,0.209173,0.761495,0.586862,,,,,,,,,
0.172052,0.202980,0.762371,0.589905,,,,,,,,,
0.165288,0.196454,0.762298,0.594127,,,,,,,,,
0.156897,0.189642,0.763112,0.597561,,,,,,,,,
0.147918,0.180804,0.766305,0.598504,,,,,,,,,
0.138615,0.170268,0.768040,0.601588,,,,,,,,,
0.130621,0.163212,0.767242,0.606333,,,,,,,,,
0.124318,0.156860,0.767115,0.609488,,,,,,,,,
0.119903,0.147177,0.766645,0.613366,,,,,,,,,
0.109453,0.135618,0.765861,0.618939,,,,,,,,,
0.095175,0.122202,0.767091,0.622559,,,,,,,,,
0.078983,0.106266,0.768752,0.625692,,,,,,,,,
0.059705,0.087415,0.769027,0.630389,,,,,,,,,
0.041272,0.068710,0.769110,0.634071,,,,,,,,,
0.026890,0.052557,0.768937,0.636593,,,,,,,,,
0.019392,0.039618,0.766621,0.640583,,,,,,,,,
0.008496,0.023973,0.765073,0.643441,,,,,,,,,
-0.005619,0.007409,0.762638,0.646759,,,,,,,,,
-0.016671,-0.002851,0.760689,0.648896,,,,,,,,,
-0.026342,-0.012911,0.759562,0.649772,,,,,,,,,
-0.039053,-0.024327,0.758837,0.649654,,,,,,,,,
